Name,First Name,District,ballotpedia.org,Party,Election,Incumbent,Sex,Date of Birth,Marital Status,Number of children,Race,Ethnicity,Profession,Compensation,Education,Religion,Citizen voting- age population (District),Voters' Average Age (District),female voters,male voters,Race: White,Race: Black/African American,Race: American Indian/Alaskan Native,Race: Asian,Race: Native Hawaiian/or other Pacific Islander,Race: some other race,Etnicity Composition: Hispanic,Ethnic composition: Latino,Ethnic composition: Spanish,Unemployment rate,Median household income (dollars),Poverty rate,Proper helath insurance rate,Highest education achieved on average,,,,,,,,,,,
Moore,Barry,AL-02,https://ballotpedia.org/Barry_Moore_(Alabama),Rep,House,no,,,,,,,,,,,"516,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers,Mike,AL-03,https://ballotpedia.org/Mike_Rogers_(Alabama),Rep,House,yes,,,,,,,,,,,"543,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winfrey,Adia,AL-03,https://ballotpedia.org/Adia_Winfrey,Dem,House,no,,,,,,,,,,,"543,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aderholt,Robert,AL-04,https://ballotpedia.org/Robert_Aderholt,Rep,House,yes,,,,,,,,,,,"515,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neighbors,Rick,AL-04,https://ballotpedia.org/Rick_Neighbors,Dem,House,no,,,,,,,,,,,"515,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,Mo,AL-05,https://ballotpedia.org/Mo_Brooks,Rep,House,yes,,,,,,,,,,,"551,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmer,Gary,AL-06,https://ballotpedia.org/Gary_Palmer,Rep,House,yes,,,,,,,,,,,"535,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pellegrino,Kaynen,AL-06,https://ballotpedia.org/Kaynen_Pellegrino,Ind,House,no,,,,,,,,,,,"535,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewell,Terri,AL-07,https://ballotpedia.org/Terri_Sewell,Dem,House,yes,,,,,,,,,,,"504,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Primary canceled,,AL-07,NA,Rep,House,no,,,,,,,,,,,"504,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford,Rick,AR-01,https://ballotpedia.org/Rick_Crawford_(Arkansas),Rep,House,yes,,,,,,,,,,,"548,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Primary canceled,,AR-01,NA,Dem,House,no,,,,,,,,,,,"548,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hill,French,AR-02,https://ballotpedia.org/French_Hill,Rep,House,yes,,,,,,,,,,,"570,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliott,Joyce,AR-02,https://ballotpedia.org/Joyce_Elliott,Dem,House,no,,,,,,,,,,,"570,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith,J. Glenn,AR-02,https://ballotpedia.org/J._Glenn_Smith,Ind,House,no,,,,,,,,,,,"570,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Womack,Steve,AR-03,https://ballotpedia.org/Steve_Womack,Rep,House,yes,,,,,,,,,,,"573,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,Celeste,AR-03,https://ballotpedia.org/Celeste_Williams,Dem,House,no,,,,,,,,,,,"573,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalagias,Michael,AR-03,https://ballotpedia.org/Michael_Kalagias,Lib,House,no,,,,,,,,,,,"573,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westerman,Bruce,AR-04,https://ballotpedia.org/Bruce_Westerman,Rep,House,yes,,,,,,,,,,,"532,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanson,William,AR-04,https://ballotpedia.org/William_Hanson_(Arkansas),Dem,House,no,,,,,,,,,,,"532,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert,Frank,AR-04,https://ballotpedia.org/Frank_Gilbert,Lib,House,no,,,,,,,,,,,"532,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Halleran,Tom,AZ-01,https://ballotpedia.org/Tom_O'Halleran,Dem,House,yes,Male,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGuire,Barbara,AZ-01,https://ballotpedia.org/Barbara_McGuire,Dem,House,no,,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putzova,Eva,AZ-01,https://ballotpedia.org/Eva_Putzova,Dem,House,no,,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,Larry,AZ-01,https://ballotpedia.org/Larry_Williams_(Arizona),Dem,House,no,,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moore,John,AZ-01,https://ballotpedia.org/John_Moore_(Arizona),Rep,House,no,,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reidhead,Nolan,AZ-01,https://ballotpedia.org/Nolan_Reidhead,Rep,House,no,,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamley,Doyel,AZ-01,https://ballotpedia.org/Doyel_Shamley,Rep,House,no,,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shedd,Tiffany,AZ-01,https://ballotpedia.org/Tiffany_Shedd,Rep,House,no,,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith,Juan,AZ-01,https://ballotpedia.org/Juan_Smith,Rep,House,no,,,,,,,,,,,"568,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkpatrick,Ann,AZ-02,https://ballotpedia.org/Ann_Kirkpatrick,Dem,House,yes,Female,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kohler,Nevin,AZ-02,https://ballotpedia.org/Nevin_Kohler,Dem,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portela,Andres,AZ-02,https://ballotpedia.org/Andres_Portela,Dem,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quilter,Peter,AZ-02,https://ballotpedia.org/Peter_Quilter,Dem,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,Jason,AZ-02,https://ballotpedia.org/Jason_Bacon,Rep,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd,Mike,AZ-02,https://ballotpedia.org/Mike_Boyd,Rep,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Brandon,AZ-02,https://ballotpedia.org/Brandon_Martin_(Arizona),Rep,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,Joseph,AZ-02,https://ballotpedia.org/Joseph_Morgan,Rep,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmidt,James,AZ-02,https://ballotpedia.org/James_Schmidt_(Arizona),Rep,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stautz,Shay,AZ-02,https://ballotpedia.org/Shay_Stautz,Rep,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bah,Iman-Utopia Layjou,AZ-02,https://ballotpedia.org/Iman-Utopia_Layjou_Bah,Ind,House,no,,,,,,,,,,,"550,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grijalva,Raul,AZ-03,https://ballotpedia.org/Raul_Grijalva,Dem,House,yes,,,,,,,,,,,"500,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnebeck,Steve,AZ-03,https://ballotpedia.org/Steve_Ronnebeck,Rep,House,no,,,,,,,,,,,"500,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood,Daniel,AZ-03,https://ballotpedia.org/Daniel_Wood_(Arizona),Rep,House,no,,,,,,,,,,,"500,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gosar,Paul,AZ-04,https://ballotpedia.org/Paul_Gosar,Rep,House,yes,,,,,,,,,,,"633,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ward,Anne Marie,AZ-04,https://ballotpedia.org/Anne_Marie_Ward,Rep,House,no,,,,,,,,,,,"633,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiSanto,Delina,AZ-04,https://ballotpedia.org/Delina_DiSanto,Dem,House,no,,,,,,,,,,,"633,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starky,Stuart,AZ-04,https://ballotpedia.org/Stuart_Starky,Dem,House,no,,,,,,,,,,,"633,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinson,Emily,AZ-04,https://ballotpedia.org/Emily_Robinson,Ind,House,no,,,,,,,,,,,"633,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biggs,Andy,AZ-05,https://ballotpedia.org/Andy_Biggs,Rep,House,yes,,,,,,,,,,,"587,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pace,Tyler,AZ-05,https://ballotpedia.org/Tyler_Pace,Rep,House,no,,,,,,,,,,,"587,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greene,Joan,AZ-05,https://ballotpedia.org/Joan_Greene,Dem,House,no,,,,,,,,,,,"587,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Jonathan,AZ-05,https://ballotpedia.org/Jonathan_Ireland,Dem,House,no,,,,,,,,,,,"587,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray,Nicholas,AZ-05,https://ballotpedia.org/Nicholas_Murray,Dem,House,no,,,,,,,,,,,"587,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramos,Javier,AZ-05,https://ballotpedia.org/Javier_Ramos,Dem,House,no,,,,,,,,,,,"587,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menor,Scott,AZ-05,https://ballotpedia.org/Scott_Menor,None,House,no,,,,,,,,,,,"587,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweikert,David,AZ-06,https://ballotpedia.org/David_Schweikert,Rep,House,yes,Male,,,,,,,,,,"577,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentles,Karl,AZ-06,https://ballotpedia.org/Karl_Gentles,Dem,House,no,,,,,,,,,,,"577,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik,Anita,AZ-06,https://ballotpedia.org/Anita_Malik,Dem,House,no,,,,,,,,,,,"577,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rimmer,Stephanie,AZ-06,https://ballotpedia.org/Stephanie_Rimmer,Dem,House,no,,,,,,,,,,,"577,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipirneni,Hiral,AZ-06,https://ballotpedia.org/Hiral_Tipirneni,Dem,House,no,,,,,,,,,,,"577,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewellen,Tom,AZ-06,https://ballotpedia.org/Tom_Lewellen,Ind,House,no,,,,,,,,,,,"577,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napolitano,Gennaro,AZ-06,https://ballotpedia.org/Gennaro_Napolitano,Ind,House,no,,,,,,,,,,,"577,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallego,Ruben,AZ-07,https://ballotpedia.org/Ruben_Gallego,Dem,House,yes,,,,,,,,,,,"454,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett,Josh,AZ-07,https://ballotpedia.org/Josh_Barnett,Rep,House,no,,,,,,,,,,,"454,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindle,Chris,AZ-07,https://ballotpedia.org/Chris_Hindle,Rep,House,no,,,,,,,,,,,"454,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesko,Debbie,AZ-08,https://ballotpedia.org/Debbie_Lesko,Rep,House,yes,,,,,,,,,,,"599,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodriguez,Jimmy,AZ-08,https://ballotpedia.org/Jimmy_Rodriguez_(Arizona),Rep,House,no,,,,,,,,,,,"599,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscato,Michael,AZ-08,https://ballotpedia.org/Michael_Muscato,Dem,House,no,,,,,,,,,,,"599,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musselwhite,Bob,AZ-08,https://ballotpedia.org/Bob_Musselwhite,Dem,House,no,,,,,,,,,,,"599,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olsen,Bob,AZ-08,https://ballotpedia.org/Bob_Olsen,Dem,House,no,,,,,,,,,,,"599,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanton,Greg,AZ-09,https://ballotpedia.org/Greg_Stanton,Dem ,House,yes,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuentes-Wolfe,Talia,AZ-09,https://ballotpedia.org/Talia_Fuentes-Wolfe,Dem,House,no,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePalma,Michelle,AZ-09,https://ballotpedia.org/Michelle_DePalma,Rep,House,no,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giles,Dave,AZ-09,https://ballotpedia.org/Dave_Giles,Rep,House,no,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huang,Sam,AZ-09,https://ballotpedia.org/Sam_Huang,Rep,House,no,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor,Tim,AZ-09,https://ballotpedia.org/Tim_Taylor_(Arizona),Rep,House,no,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutora,Nicholas,AZ-09,https://ballotpedia.org/Nicholas_Tutora,Rep,House,no,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker,Jason,AZ-09,https://ballotpedia.org/Jason_Walker_(Arizona),Rep,House,no,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baroness Von Behr,Irina,AZ-09,https://ballotpedia.org/Irina_Baroness_Von_Behr,Ind,House,no,,,,,,,,,,,"562,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaMalfa,Doug,CA-01,https://ballotpedia.org/Doug_LaMalfa,Rep,House,yes,,,,,,,,,,,"553,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denney,Audrey,CA-01,https://ballotpedia.org/Audrey_Denney,Dem,House,no,,,,,,,,,,,"553,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huffman,Jared,CA-02,https://ballotpedia.org/Jared_Huffman,Dem,House,yes,,,,,,,,,,,"534,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mensing,Dale,CA-02,https://ballotpedia.org/Dale_Mensing,Rep,House,no,,,,,,,,,,,"534,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garamendi,John,CA-03,https://ballotpedia.org/John_Garamendi,Dem,House,yes,,,,,,,,,,,"504,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Tamika,CA-03,https://ballotpedia.org/Tamika_Hamilton,Rep,House,no,,,,,,,,,,,"504,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClintock,Tom,CA-04,https://ballotpedia.org/Tom_McClintock,Rep,House,yes,,,,,,,,,,,"573,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy,Brynne,CA-04,https://ballotpedia.org/Brynne_Kennedy,Dem,House,no,,,,,,,,,,,"573,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thompson,Mike,CA-05,https://ballotpedia.org/Mike_Thompson_(California),Dem,House,yes,,,,,,,,,,,"508,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giblin,Scott,CA-05,https://ballotpedia.org/Scott_Giblin,Rep,House,no,,,,,,,,,,,"508,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matsui,Doris,CA-06,https://ballotpedia.org/Doris_Matsui,Dem,House,yes,,,,,,,,,,,"506,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bish,Chris,CA-06,https://ballotpedia.org/Chris_Bish,Rep,House,no,,,,,,,,,,,"506,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bera,Ami,CA-07,https://ballotpedia.org/Ami_Bera,Dem,House,yes,Male,,,,,,,,,,"537,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patterson,Buzz,CA-07,https://ballotpedia.org/Buzz_Patterson,Rep,House,no,,,,,,,,,,,"537,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubser,Chris,CA-08,https://ballotpedia.org/Chris_Bubser,Dem,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conaway,Bob,CA-08,https://ballotpedia.org/Bob_Conaway,Dem,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellars,James,CA-08,https://ballotpedia.org/James_Ellars,Dem,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnelly,Tim,CA-08,"https://ballotpedia.org/Tim_Donnelly_(U.S._House_candidate,_California)",Rep,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laws,Jerry,CA-08,https://ballotpedia.org/Jerry_Laws,Rep,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obernolte,Jay,CA-08,https://ballotpedia.org/Jay_Obernolte,Rep,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staat,Jeremy,CA-08,https://ballotpedia.org/Jeremy_Staat,Rep,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitehead,Justin David,CA-08,https://ballotpedia.org/Justin_David_Whitehead,Rep,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,Jacquetta,CA-08,https://ballotpedia.org/Jacquetta_Green,None,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmus,Jeff,CA-08,https://ballotpedia.org/Jeff_Esmus,Ind,House,no,,,,,,,,,,,"477,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,
McNerney,Jerry,CA-09,https://ballotpedia.org/Jerry_McNerney,Dem,House,yes,,,,,,,,,,,"482,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,Antonio,CA-09,https://ballotpedia.org/Antonio_Amador,Rep,House,no,,,,,,,,,,,"482,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harder,Josh,CA-10,https://ballotpedia.org/Josh_Harder,Dem,House,yes,Male,,,,,,,,,,"493,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howze,Ted,CA-10,https://ballotpedia.org/Ted_Howze,Rep,House,no,,,,,,,,,,,"493,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeSaulnier,Mark,CA-11,https://ballotpedia.org/Mark_DeSaulnier,Dem,House,yes,,,,,,,,,,,"508,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharma,Nisha,CA-11,https://ballotpedia.org/Nisha_Sharma,Rep,House,no,,,,,,,,,,,"508,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelosi,Nancy,CA-12,https://ballotpedia.org/Nancy_Pelosi,Dem,House,yes,,,,,,,,,,,"571,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buttar,Shahid,CA-12,https://ballotpedia.org/Shahid_Buttar,Dem,House,no,,,,,,,,,,,"571,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,Barbara,CA-13,https://ballotpedia.org/Barbara_Lee_(California),Dem,House,yes,,,,,,,,,,,"536,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piterman,Nikka,CA-13,https://ballotpedia.org/Nikka_Piterman,Rep,House,no,,,,,,,,,,,"536,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speier,Jackie,CA-14,https://ballotpedia.org/Jackie_Speier,Dem,House,yes,,,,,,,,,,,"511,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petel,Ran,CA-14,https://ballotpedia.org/Ran_Petel,Rep,House,no,,,,,,,,,,,"511,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swalwell,Eric,CA-15,https://ballotpedia.org/Eric_Swalwell,Dem,House,yes,,,,,,,,,,,"503,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden,Alison,CA-15,https://ballotpedia.org/Alison_Hayden,Rep,House,no,,,,,,,,,,,"503,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa,Jim,CA-16,https://ballotpedia.org/Jim_Costa,Dem,House,yes,,,,,,,,,,,"423,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookingham,Kevin,CA-16,https://ballotpedia.org/Kevin_Cookingham,Rep,House,no,,,,,,,,,,,"423,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khanna,Ro,CA-17,https://ballotpedia.org/Ro_Khanna,Dem,House,yes,,,,,,,,,,,"438,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandon,Ritesh,CA-17,https://ballotpedia.org/Ritesh_Tandon,Rep,House,no,,,,,,,,,,,"438,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eshoo,Anna,CA-18,https://ballotpedia.org/Anna_Eshoo,Dem,House,yes,,,,,,,,,,,"491,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar,Rishi,CA-18,https://ballotpedia.org/Rishi_Kumar,Dem,House,no,,,,,,,,,,,"491,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox,Richard,CA-18,https://ballotpedia.org/Richard_Fox_(California),Rep,House,no,,,,,,,,,,,"491,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reynolds,Phil,CA-18,https://ballotpedia.org/Phil_Reynolds,Rep,House,no,,,,,,,,,,,"491,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwyn,Bob,CA-18,https://ballotpedia.org/Bob_Goodwyn,Lib,House,no,,,,,,,,,,,"491,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lofgren,Zoe,CA-19,https://ballotpedia.org/Zoe_Lofgren,Dem,House,yes,,,,,,,,,,,"482,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torres,Ivan,CA-19,https://ballotpedia.org/Ivan_Torres,Dem,House,no,,,,,,,,,,,"482,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguilera,Justin,CA-19,https://ballotpedia.org/Justin_Aguilera,Rep,House,no,,,,,,,,,,,"482,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruz,Ignacio,CA-19,https://ballotpedia.org/Ignacio_Cruz,Rep,House,no,,,,,,,,,,,"482,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallory,Jason,CA-19,https://ballotpedia.org/Jason_Mallory,Ind,House,no,,,,,,,,,,,"482,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panetta, Jimmy,CA-20,https://ballotpedia.org/Jimmy_Panetta,Dem,House,yes,,,,,,,,,,,"434,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorman,Jeff,CA-20,https://ballotpedia.org/Jeff_Gorman_(California),Rep,House,no,,,,,,,,,,,"434,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cox,Terrance John,CA-21,NA,Dem,House,yes,Male,,,,,,,,,,"354,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valadao,David G.,CA-21,https://ballotpedia.org/David_Valadao,Rep,House,no,,,,,,,,,,,"354,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunes,Devin,CA-22,https://ballotpedia.org/Devin_Nunes,Rep,House,yes,Male,,,,,,,,,,"483,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arballo,Phil,CA-22,https://ballotpedia.org/Phil_Arballo,Dem,House,no,,,,,,,,,,,"483,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCarthy,Kevin,CA-23,https://ballotpedia.org/Kevin_McCarthy_(California),Rep,House,yes,,,,,,,,,,,"490,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangone,Kim,CA-23,https://ballotpedia.org/Kim_Mangone,Dem,House,no,,,,,,,,,,,"490,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbajal,Salud,CA-24,https://ballotpedia.org/Salud_Carbajal,Dem,House,yes,,,,,,,,,,,"508,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell,Andy,CA-24,https://ballotpedia.org/Andy_Caldwell,Rep,House,no,,,,,,,,,,,"508,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,
