"","name","party"
"442","James Vestermark","Republican Party"
"443","James Walter Legate Jr.","Republican Party"
"444","James William Howitt","Republican Party"
"445","Jamie Moore","Independent"
"446","Jamie Staggs","Nonpartisan"
"447","Janelle Marie Nowell","Democratic Party"
"448","Jan Janson","Republican Party"
"449","Jared Kyle Wolny","Democratic Party"
"450","Jarmal Jabbar Sanders","Nonpartisan"
"451","Jarom Watts","Independent"
"452","Jasen Lemar Edwards","Nonpartisan"
"453","Jason Churilla","Democratic Party"
"454","Jason Daniel Peach","Libertarian Party"
"455","Jason E. Dunlap","Democratic Party"
"456","Jason G. Graven","Nonpartisan"
"457","Jason Kim","Democratic Party"
"458","Jason Michael Sibilio","Libertarian Party"
"459","Jason Murray","Democratic Party"
"460","Jason Robert Barnes","Green Party"
"461","Jason Smith","Independent American Party"
"462","Jawad Agadir","Nonpartisan"
"463","Jawad Hashem Hakeem","Independent"
"464","Jay Inslee","Democratic Party"
"465","Jay P. Pridmore","Nonpartisan"
"466","Jedidiah Hill","Libertarian Party"
"467","Jefery Levy","Democratic Party"
"468","Jeffery Sharp","Nonpartisan"
"469","Jeffrey Downard","Republican Party"
"470","Jeffrey Michael Hidek","Independent"
"471","Jeffrey Ralph Zorn","Democratic Party"
"472","Jeffrey R. Wharton","Republican Party"
"473","Jeff Stabins","Republican Party"
"474","Jennifer Alameda","Independent"
"475","Jennifer McMurray","Democratic Party"
"476","Jennifer Vogel-Walcutt","Democratic Party"
"477","Jennifer Walters","Green Party"
"478","Jennifer Yeandle","Independent"
"479","Jeremiah James Hopper Sr.","Independent"
"480","Jeremy Gordon","Nonpartisan"
"481","Jeremy Joseph Gable","Nonpartisan"
"482","Jeremy Shane Bernheisel","Independent"
"483","Jerry Leon Carroll","Nonpartisan"
"484","Jerry Segal","Other"
"485","Jesse Duke","Other"
"486","Jesse James Smith","Independence Party"
"487","Jesse Laz-Hirsch","Nonpartisan"
"488","J. Gil De Lamadrid","Nonpartisan"
"489","Jill Ann Carty","Independence Party"
"490","Jim Gray","Libertarian Party"
"491","Jimmy Delgado","Democratic Party"
"492","Jimmy Flame","Independent"
"493","Jimmy Shaw McLlellon","Ace Party"
"494","Jo 753","Nonpartisan"
"495","Joanna Lau","Democratic Party"
"496","Joe Biden","Democratic Party"
"497","Joe Edward Anderson","Republican Party"
"498","Joe Edward Collins III","Republican Party"
"499","Joe Kenneth Holt Jr.","Democratic Party"
"500","Joel Levi Altman","Independent"
"501","Joe McHugh","Independent"
"502","Joe Sestak","Democratic Party"
"503","Joe Walsh","Republican Party"
"504","Joey Berry","Independent"
"505","Johannon Zion","Independent"
"506","Johan Tore Nystrom","Independent"
"507","John Blyth","Democratic Party"
"508","John Cash","Independent"
"509","John Christopher Mason","Democratic Party"
"510","John Dacey","Democratic Party"
"511","John D'aura","Nonpartisan"
"512","John Delaney","Democratic Party"
"513","John Flynn","Republican Party"
"514","John Gunter","Democratic Party"
"515","John Hickenlooper","Democratic Party"
"516","John J. Gilbert","Democratic Party"
"517","John Klein","Republican Party"
"518","John Kwesi Hankins","Independent"
"519","John McAfee","Libertarian Party"
"520","John Medeiros","Nonpartisan"
"521","John Mercauto","Independent"
"522","John M. Hoffman","Nonpartisan"
"523","John Michelotti","Independent"
"524","John Monds","Libertarian Party"
"525","John Mutzberg III","Independent"
"526","John Myers","American Independent Party"
"527","Johnnie Campbell","Democratic Party"
"528","Johnny Henry","American Independent Party"
"529","Johnny Rae Friskey","Republican Party"
"530","John O'Keefe","Democratic Party"
"531","John Patrick Martini","Democratic Party"
"532","John Riley","Nonpartisan"
"533","John Robert O'Donnell","Democratic Party"
"534","John R. Phillips","Libertarian Party"
"535","John Schiess","Republican Party"
"536","Jo Jorgensen","Libertarian Party"
"537","Jo Jorgensen","Libertarian Party"
"538","Jonathan Marc","Democratic Party"
"539","Jonathan Mathews","Republican Party"
"540","Jonathon James Kragh","Nonpartisan"
"541","Jonathon Sharkey","Republican Party"
"542","Joncarlo Ciccone","Democratic Party"
"543","Jon W. Fitzpatrick","Nonpartisan"
"544","Jordan Marc Scott","Independent"
"545","Jordan R. Lassiter","Nonpartisan"
"546","Jorran Lee Beebe","Democratic Party"
"547","Jose Arnold Villagrana","Democratic Party"
"548","Jose Font","Democratic Party"
"549","Jose Manuel Cuevas","Nonpartisan"
"550","Joseph Allen Maldonado","Libertarian Party"
"551","Joseph Camp","Independent"
"552","Joseph Charles Campbell","Libertarian Party"
"553","Joseph Charles Schriner","Independent"
"554","Joseph Garvey","Democratic Party"
"555","Joseph Hamrick","Nonpartisan"
"556","Joseph Henderson","Democratic Party"
"557","Joseph Lee Custis Jr.","Independent"
"558","Joseph Tanniru","Socialist Equality Party"
"559","Joshua Alexander Hoy","Democratic Party"
"560","Joshua David Usera","Nonpartisan"
"561","Joshua James Reed","Democratic Party"
"562","Joshua Matthew Becker","Democratic Party"
"563","Joshua Peter","Democratic Party"
"564","Joshua Reese Kronberg","Democratic Party"
"565","Joshua Scherrer","Unaffiliated"
"566","Joshua Tien","Democratic Party"
"567","Jovan Burleson","American People's Freedom Party"
"568","Joy L. Sorrells","Independent"
"569","Juan Buenrostro Ortiz","Democratic Party"
"570","Judah Thomas","Independent"
"571","Julián Castro","Democratic Party"
"572","Julian Lapaul Decarlo Gray","Independent"
"573","Julianne Elizabeth Benzel","Republican Party"
"574","Julius Theodore Engel","Nonpartisan"
"575","June La'Gay Lloyd","Independent"
"576","Justin Amash","Libertarian Party"
"577","Justin Daniel","Independence Party"
"578","Justin Harper","Republican Party"
"579","Justin Michael Browning","Nonpartisan"
"580","Justin Tomlinson","George Wallace Party"
"581","Kamala D. Harris","Democratic Party"
"582","Kameron Scott","Nonpartisan"
"583","Kasey Wells","Independent"
"584","Keely Ann Craig","Republican Party"
"585","Keenan Dunham","Libertarian Party"
"586","Keiki O'Kalani","Independent"
"587","Keith Brown","Libertarian Party"
"588","Keith Daniel Lankford","Nonpartisan"
"589","Keith Davenport","Independent"
"590","Keith Galaska","Nonpartisan"
"591","Keith Jones","Independent"
"592","Keith Landi","Democratic Party"
"593","Keith Leonard","Democratic Party"
"594","Keith Ottinger","Republican Party"
"595","Keith Smith","Democratic Party"
"596","Keith Thomae","Republican Party"
"597","Kelan Farrell-Smith","Republican Party"
"598","Kelly McLain","Democratic Party"
"599","Kelvin Gerad Davis","Independent"
"600","Kenneth Alan Wilson","Independent"
"601","Kenneth Armstrong","Libertarian Party"
"602","Kenneth Blevins","Libertarian Party"
"603","Kenneth Bruce Van Gross","Unaffiliated"
"604","Kenneth E. Nwadike Jr.","Democratic Party"
"605","Kenneth James Montalvo","Independent"
"606","Kenneth Robert Cross","Nonpartisan"
"607","Kenny Rodeo","Republican Party"
"608","Ken Patterson","Republican Party"
"609","Kent Mesplay","Green Party"
"610","Ken Ward","Nonpartisan"
"611","Kerry D. Soseeah","Nonpartisan"
"612","Kerry Kizer","Green Party"
"613","Keshav Gupta","Democratic Party"
"614","Kevin Andrew Kinchen","American Independent Party"
"615","Kevin Bradford Diel","Independent"
"616","Kevin C. Brown","Nonpartisan"
"617","Kevin Collins","Democratic Party"
"618","Kevin Commander Cormier","Democratic Party"
"619","Kevin Jones","Other"
"620","Kevin Oakes","Republican Party"
"621","Kevin Prestia","Democratic Party"
"622","Kevin West","Unaffiliated"
"623","Keyshawn Dwanye Varnado","Democratic Party"
"624","Khistina Dejean","Independent"
"625","Kimberly Margaret Ruff","Libertarian Party"
"626","Kirsten Gillibrand","Democratic Party"
"627","Kisare O. Makori","Conservative Party"
"628","Kody Allen Kneip","Republican Party"
"629","Korey Paul Starkey","Independent"
"630","Korrena Kaye Usera","Nonpartisan"
"631","Krisjiannis Vittato","Other"
"632","Krisjian Vitateaux","Other"
"633","Krista Marie Whipple","Libertarian Party"
"634","Kristopher Hoffman","Nonpartisan"
"635","Kristopher Thomas Minette","Nonpartisan"
"636","Kurios I","Independent"
"637","Kurt Conone","Nonpartisan"
"638","Kurtis Wilson","Democratic Party"
"639","Kurt Sackerman","Democratic Party"
"640","Kyle Kenley Kopitke","Independent"
"641","Kyle S. Brown","Independent"
"642","Kyrial Gregory Perkins","Independent"
"643","Labarron Perkins","Democratic Party"
"644","Lacie Banchio","Republican Party"
"645","Larry D. Bluford Sr.","Nonpartisan"
"646","Larry Vaughn Fulmer Jr.","Independent"
"647","Larry Walker","Democratic Party"
"648","Larry W. Cole","Democratic Party"
"649","LaTonya Tucker","Citizens' Party"
"650","Lauren Patterson-Strong","Democratic Party"
"651","Lavarion Bolling","Republican Party"
"652","Lawrence Horn","Republican Party"
"653","Lawrence Smith","Unaffiliated"
"654","L.C. Fuller Jr.","Democratic Party"
"655","Lee Franklin","Independent"
"656","Lee Rhodes","Democratic Party"
"657","Lee Rogers","Conservative Party"
"658","Leonard Peltier","Peace and Freedom Party"
"659","Leo Scheidler","Independent"
"660","Leroy Lewis","Independent"
"661","Leslie Epps","Democratic Party"
"662","Levoid Dexter Perry II","Democratic Party"
"663","Lexie Ray Hughes","The Human Rights Party"
"664","Lincoln Chafee","Libertarian Party"
"665","Lisa Jane Marmorato","Nonpartisan"
"666","Lisanne Ferne Anderson","Nonpartisan"
"667","Lisha Shaju","Democratic Party"
"668","Liza Dawn Cherricks","Independent"
"669","Lonnie Beard III","Independent"
"670","Lon Tharaldson","Nonpartisan"
"671","Lori Holton","Independent"
"672","Lorraine Lynch","Libertarian Party"
"673","Louis Vanacore","Libertarian Party"
"674","Luca Nascimbene","Independent"
"675","Luis Alberto Ramos Jr.","Democratic Party"
"676","Luis Macias","Republican Party"
"677","Luis Rivera Jr.","Nonpartisan"
"678","Luis Szydlowski De Jesus","Independent"
"679","Luke Allen Brodersen","Democratic Party"
"680","Luke Summers","Democratic Party"
"681","Luke Warren","Democratic Party"
"682","Luvita Franklin","Independent"
"683","Maayan Z. Zik","Democratic Party"
"684","Mack Kitchel","Socialist Labor Party"
