	Name	First Name	District	ballotpedia.org	Party	Election	Incumbent	Sex
38	Reidhead	Nolan	AZ-01	https://ballotpedia.org/Nolan_Reidhead	Rep	House	no	NA
39	Shamley	Doyel	AZ-01	https://ballotpedia.org/Doyel_Shamley	Rep	House	no	NA
40	Shedd	Tiffany	AZ-01	https://ballotpedia.org/Tiffany_Shedd	Rep	House	no	NA
41	Smith	Juan	AZ-01	https://ballotpedia.org/Juan_Smith	Rep	House	no	NA
42	Kirkpatrick	Ann	AZ-02	https://ballotpedia.org/Ann_Kirkpatrick	Dem	House	yes	Female
43	Kohler	Nevin	AZ-02	https://ballotpedia.org/Nevin_Kohler	Dem	House	no	NA
44	Portela	Andres	AZ-02	https://ballotpedia.org/Andres_Portela	Dem	House	no	NA
45	Quilter	Peter	AZ-02	https://ballotpedia.org/Peter_Quilter	Dem	House	no	NA
46	Bacon	Jason	AZ-02	https://ballotpedia.org/Jason_Bacon	Rep	House	no	NA
47	Boyd	Mike	AZ-02	https://ballotpedia.org/Mike_Boyd	Rep	House	no	NA
48	Martin	Brandon	AZ-02	https://ballotpedia.org/Brandon_Martin_(Arizona)	Rep	House	no	NA
49	Morgan	Joseph	AZ-02	https://ballotpedia.org/Joseph_Morgan	Rep	House	no	NA
50	Schmidt	James	AZ-02	https://ballotpedia.org/James_Schmidt_(Arizona)	Rep	House	no	NA
51	Stautz	Shay	AZ-02	https://ballotpedia.org/Shay_Stautz	Rep	House	no	NA
52	Bah	Iman-Utopia Layjou	AZ-02	https://ballotpedia.org/Iman-Utopia_Layjou_Bah	Ind	House	no	NA
53	Grijalva	Raul	AZ-03	https://ballotpedia.org/Raul_Grijalva	Dem	House	yes	NA
54	Ronnebeck	Steve	AZ-03	https://ballotpedia.org/Steve_Ronnebeck	Rep	House	no	NA
55	Wood	Daniel	AZ-03	https://ballotpedia.org/Daniel_Wood_(Arizona)	Rep	House	no	NA
56	Gosar	Paul	AZ-04	https://ballotpedia.org/Paul_Gosar	Rep	House	yes	NA
57	Ward	Anne Marie	AZ-04	https://ballotpedia.org/Anne_Marie_Ward	Rep	House	no	NA
58	DiSanto	Delina	AZ-04	https://ballotpedia.org/Delina_DiSanto	Dem	House	no	NA
59	Starky	Stuart	AZ-04	https://ballotpedia.org/Stuart_Starky	Dem	House	no	NA
60	Robinson	Emily	AZ-04	https://ballotpedia.org/Emily_Robinson	Ind	House	no	NA
61	Biggs	Andy	AZ-05	https://ballotpedia.org/Andy_Biggs	Rep	House	yes	NA
62	Pace	Tyler	AZ-05	https://ballotpedia.org/Tyler_Pace	Rep	House	no	NA
63	Greene	Joan	AZ-05	https://ballotpedia.org/Joan_Greene	Dem	House	no	NA
64	Ireland	Jonathan	AZ-05	https://ballotpedia.org/Jonathan_Ireland	Dem	House	no	NA
65	Murray	Nicholas	AZ-05	https://ballotpedia.org/Nicholas_Murray	Dem	House	no	NA
66	Ramos	Javier	AZ-05	https://ballotpedia.org/Javier_Ramos	Dem	House	no	NA
67	Menor	Scott	AZ-05	https://ballotpedia.org/Scott_Menor	None	House	no	NA
68	Schweikert	David	AZ-06	https://ballotpedia.org/David_Schweikert	Rep	House	yes	Male
69	Gentles	Karl	AZ-06	https://ballotpedia.org/Karl_Gentles	Dem	House	no	NA
70	Malik	Anita	AZ-06	https://ballotpedia.org/Anita_Malik	Dem	House	no	NA
71	Rimmer	Stephanie	AZ-06	https://ballotpedia.org/Stephanie_Rimmer	Dem	House	no	NA
72	Tipirneni	Hiral	AZ-06	https://ballotpedia.org/Hiral_Tipirneni	Dem	House	no	NA
73	Lewellen	Tom	AZ-06	https://ballotpedia.org/Tom_Lewellen	Ind	House	no	NA
74	Napolitano	Gennaro	AZ-06	https://ballotpedia.org/Gennaro_Napolitano	Ind	House	no	NA
75	Gallego	Ruben	AZ-07	https://ballotpedia.org/Ruben_Gallego	Dem	House	yes	NA
76	Barnett	Josh	AZ-07	https://ballotpedia.org/Josh_Barnett	Rep	House	no	NA
77	Hindle	Chris	AZ-07	https://ballotpedia.org/Chris_Hindle	Rep	House	no	NA
78	Lesko	Debbie	AZ-08	https://ballotpedia.org/Debbie_Lesko	Rep	House	yes	NA
79	Rodriguez	Jimmy	AZ-08	https://ballotpedia.org/Jimmy_Rodriguez_(Arizona)	Rep	House	no	NA
80	Muscato	Michael	AZ-08	https://ballotpedia.org/Michael_Muscato	Dem	House	no	NA
81	Musselwhite	Bob	AZ-08	https://ballotpedia.org/Bob_Musselwhite	Dem	House	no	NA
82	Olsen	Bob	AZ-08	https://ballotpedia.org/Bob_Olsen	Dem	House	no	NA
83	Stanton	Greg	AZ-09	https://ballotpedia.org/Greg_Stanton	Dem	House	yes	NA
84	Fuentes-Wolfe	Talia	AZ-09	https://ballotpedia.org/Talia_Fuentes-Wolfe	Dem	House	no	NA
85	DePalma	Michelle	AZ-09	https://ballotpedia.org/Michelle_DePalma	Rep	House	no	NA
86	Giles	Dave	AZ-09	https://ballotpedia.org/Dave_Giles	Rep	House	no	NA
87	Huang	Sam	AZ-09	https://ballotpedia.org/Sam_Huang	Rep	House	no	NA
88	Taylor	Tim	AZ-09	https://ballotpedia.org/Tim_Taylor_(Arizona)	Rep	House	no	NA
89	Tutora	Nicholas	AZ-09	https://ballotpedia.org/Nicholas_Tutora	Rep	House	no	NA
90	Walker	Jason	AZ-09	https://ballotpedia.org/Jason_Walker_(Arizona)	Rep	House	no	NA
91	Baroness Von Behr	Irina	AZ-09	https://ballotpedia.org/Irina_Baroness_Von_Behr	Ind	House	no	NA
92	LaMalfa	Doug	CA-01	https://ballotpedia.org/Doug_LaMalfa	Rep	House	yes	NA
93	Denney	Audrey	CA-01	https://ballotpedia.org/Audrey_Denney	Dem	House	no	NA
94	Huffman	Jared	CA-02	https://ballotpedia.org/Jared_Huffman	Dem	House	yes	NA
95	Mensing	Dale	CA-02	https://ballotpedia.org/Dale_Mensing	Rep	House	no	NA
96	Garamendi	John	CA-03	https://ballotpedia.org/John_Garamendi	Dem	House	yes	NA
97	Hamilton	Tamika	CA-03	https://ballotpedia.org/Tamika_Hamilton	Rep	House	no	NA
98	McClintock	Tom	CA-04	https://ballotpedia.org/Tom_McClintock	Rep	House	yes	NA
99	Kennedy	Brynne	CA-04	https://ballotpedia.org/Brynne_Kennedy	Dem	House	no	NA
100	Thompson	Mike	CA-05	https://ballotpedia.org/Mike_Thompson_(California)	Dem	House	yes	NA
101	Giblin	Scott	CA-05	https://ballotpedia.org/Scott_Giblin	Rep	House	no	NA
102	Matsui	Doris	CA-06	https://ballotpedia.org/Doris_Matsui	Dem	House	yes	NA
103	Bish	Chris	CA-06	https://ballotpedia.org/Chris_Bish	Rep	House	no	NA
104	Bera	Ami	CA-07	https://ballotpedia.org/Ami_Bera	Dem	House	yes	Male
105	Patterson	Buzz	CA-07	https://ballotpedia.org/Buzz_Patterson	Rep	House	no	NA
106	Bubser	Chris	CA-08	https://ballotpedia.org/Chris_Bubser	Dem	House	no	NA
107	Conaway	Bob	CA-08	https://ballotpedia.org/Bob_Conaway	Dem	House	no	NA
108	Ellars	James	CA-08	https://ballotpedia.org/James_Ellars	Dem	House	no	NA
109	Donnelly	Tim	CA-08	https://ballotpedia.org/Tim_Donnelly_(U.S._House_candidate,_California)	Rep	House	no	NA
110	Laws	Jerry	CA-08	https://ballotpedia.org/Jerry_Laws	Rep	House	no	NA
111	Obernolte	Jay	CA-08	https://ballotpedia.org/Jay_Obernolte	Rep	House	no	NA
112	Staat	Jeremy	CA-08	https://ballotpedia.org/Jeremy_Staat	Rep	House	no	NA
113	Whitehead	Justin David	CA-08	https://ballotpedia.org/Justin_David_Whitehead	Rep	House	no	NA
114	Green	Jacquetta	CA-08	https://ballotpedia.org/Jacquetta_Green	None	House	no	NA
115	Esmus	Jeff	CA-08	https://ballotpedia.org/Jeff_Esmus	Ind	House	no	NA
116	McNerney	Jerry	CA-09	https://ballotpedia.org/Jerry_McNerney	Dem	House	yes	NA
117	Amador	Antonio	CA-09	https://ballotpedia.org/Antonio_Amador	Rep	House	no	NA
118	Harder	Josh	CA-10	https://ballotpedia.org/Josh_Harder	Dem	House	yes	Male
119	Howze	Ted	CA-10	https://ballotpedia.org/Ted_Howze	Rep	House	no	NA
120	DeSaulnier	Mark	CA-11	https://ballotpedia.org/Mark_DeSaulnier	Dem	House	yes	NA
121	Sharma	Nisha	CA-11	https://ballotpedia.org/Nisha_Sharma	Rep	House	no	NA
122	Pelosi	Nancy	CA-12	https://ballotpedia.org/Nancy_Pelosi	Dem	House	yes	NA
123	Buttar	Shahid	CA-12	https://ballotpedia.org/Shahid_Buttar	Dem	House	no	NA
124	Lee	Barbara	CA-13	https://ballotpedia.org/Barbara_Lee_(California)	Dem	House	yes	NA
125	Piterman	Nikka	CA-13	https://ballotpedia.org/Nikka_Piterman	Rep	House	no	NA
126	Speier	Jackie	CA-14	https://ballotpedia.org/Jackie_Speier	Dem	House	yes	NA
127	Petel	Ran	CA-14	https://ballotpedia.org/Ran_Petel	Rep	House	no	NA
128	Swalwell	Eric	CA-15	https://ballotpedia.org/Eric_Swalwell	Dem	House	yes	NA
129	Hayden	Alison	CA-15	https://ballotpedia.org/Alison_Hayden	Rep	House	no	NA
130	Costa	Jim	CA-16	https://ballotpedia.org/Jim_Costa	Dem	House	yes	NA
131	Cookingham	Kevin	CA-16	https://ballotpedia.org/Kevin_Cookingham	Rep	House	no	NA
132	Khanna	Ro	CA-17	https://ballotpedia.org/Ro_Khanna	Dem	House	yes	NA
133	Tandon	Ritesh	CA-17	https://ballotpedia.org/Ritesh_Tandon	Rep	House	no	NA
134	Eshoo	Anna	CA-18	https://ballotpedia.org/Anna_Eshoo	Dem	House	yes	NA
135	Kumar	Rishi	CA-18	https://ballotpedia.org/Rishi_Kumar	Dem	House	no	NA
136	Fox	Richard	CA-18	https://ballotpedia.org/Richard_Fox_(California)	Rep	House	no	NA
137	Reynolds	Phil	CA-18	https://ballotpedia.org/Phil_Reynolds	Rep	House	no	NA
138	Goodwyn	Bob	CA-18	https://ballotpedia.org/Bob_Goodwyn	Lib	House	no	NA
139	Lofgren	Zoe	CA-19	https://ballotpedia.org/Zoe_Lofgren	Dem	House	yes	NA
140	Torres	Ivan	CA-19	https://ballotpedia.org/Ivan_Torres	Dem	House	no	NA
141	Aguilera	Justin	CA-19	https://ballotpedia.org/Justin_Aguilera	Rep	House	no	NA
142	Cruz	Ignacio	CA-19	https://ballotpedia.org/Ignacio_Cruz	Rep	House	no	NA
143	Mallory	Jason	CA-19	https://ballotpedia.org/Jason_Mallory	Ind	House	no	NA
144	Panetta	Jimmy	CA-20	https://ballotpedia.org/Jimmy_Panetta	Dem	House	yes	NA
145	Gorman	Jeff	CA-20	https://ballotpedia.org/Jeff_Gorman_(California)	Rep	House	no	NA
146	Cox	Terrance John	CA-21	NA	Dem	House	yes	Male
147	Valadao	David G.	CA-21	https://ballotpedia.org/David_Valadao	Rep	House	no	NA
148	Nunes	Devin	CA-22	https://ballotpedia.org/Devin_Nunes	Rep	House	yes	Male
149	Arballo	Phil	CA-22	https://ballotpedia.org/Phil_Arballo	Dem	House	no	NA
150	McCarthy	Kevin	CA-23	https://ballotpedia.org/Kevin_McCarthy_(California)	Rep	House	yes	NA
151	Mangone	Kim	CA-23	https://ballotpedia.org/Kim_Mangone	Dem	House	no	NA
152	Carbajal	Salud	CA-24	https://ballotpedia.org/Salud_Carbajal	Dem	House	yes	NA
153	Caldwell	Andy	CA-24	https://ballotpedia.org/Andy_Caldwell	Rep	House	no	NA
154	Smith	Christy	CA-25	https://ballotpedia.org/Christy_Smith	Dem	House	no	NA
155	Garcia	Mike	CA-25	https://ballotpedia.org/Mike_Garcia	Rep	House	no	NA
156	Brownley	Julia	CA-26	https://ballotpedia.org/Julia_Brownley	Dem	House	yes	NA
157	Baldwin-Kennedy	Ronda	CA-26	https://ballotpedia.org/Ronda_Baldwin-Kennedy	Rep	House	no	NA
158	Chu	Judy	CA-27	https://ballotpedia.org/Judy_Chu	Dem	House	yes	NA
159	Cardenas	Beatrice	CA-27	https://ballotpedia.org/Beatrice_Cardenas	Rep	House	no	NA
160	Nalbandian	Johnny	CA-27	https://ballotpedia.org/Johnny_Nalbandian	Rep	House	no	NA
161	Daly	Christian	CA-27	https://ballotpedia.org/Christian_Daly	Ind	House	no	NA
162	Schiff	Adam	CA-28	https://ballotpedia.org/Adam_Schiff	Dem	House	yes	NA
163	Anderson	Chad	CA-28	https://ballotpedia.org/Chad_Anderson_(California)	Dem	House	no	NA
164	Genovese	Sal	CA-28	https://ballotpedia.org/Sal_Genovese	Dem	House	no	NA
165	Girl	Maebe A.	CA-28	https://ballotpedia.org/Maebe_A._Girl	Dem	House	no	NA
166	Khachig Manoogian	Ara	CA-28	https://ballotpedia.org/Ara_Khachig_Manoogian	Dem	House	no	NA
167	Bodell	William	CA-28	https://ballotpedia.org/William_Bodell	Rep	House	no	NA
168	Early	Eric	CA-28	https://ballotpedia.org/Eric_Early	Rep	House	no	NA
169	Barbosa	Jennifer	CA-28	https://ballotpedia.org/Jennifer_Barbosa	Ind	House	no	NA
170	Cárdenas	Tony	CA-29	https://ballotpedia.org/Tony_Cárdenas	Dem	House	yes	NA
171	Duenas	Angelica	CA-29	https://ballotpedia.org/Angelica_Dueñas	Dem	House	no	NA
172	Sherman	Brad	CA-30	https://ballotpedia.org/Brad_Sherman	Dem	House	yes	NA
173	Reed	Mark	CA-30	https://ballotpedia.org/Mark_Reed_(California)	Rep	House	no	NA
174	Aguilar	Pete	CA-31	https://ballotpedia.org/Pete_Aguilar	Dem	House	yes	NA
175	Gibboney	Agnes	CA-31	https://ballotpedia.org/Agnes_Gibboney	Rep	House	no	NA
176	Napolitano	Grace	CA-32	https://ballotpedia.org/Grace_Napolitano	Dem	House	yes	NA
177	Scott	Joshua	CA-32	https://ballotpedia.org/Joshua_Scott	Rep	House	not	NA
178	Lieu	Ted	CA-33	https://ballotpedia.org/Ted_Lieu	Dem	House	yes	NA
179	Bradley	James P.	CA-33	https://ballotpedia.org/James_P._Bradley_(California)	Rep	House	no	NA
180	Gomez	Jimmy	CA-34	https://ballotpedia.org/Jimmy_Gomez	Dem	House	yes	NA
181	Kim	David	CA-34	https://ballotpedia.org/David_Kim_(California)	Dem	House	no	NA
182	Torres	Norma	CA-35	https://ballotpedia.org/Norma_Torres	Dem	House	yes	NA
183	Cargile	Mike	CA-35	https://ballotpedia.org/Mike_Cargile	Rep	House	no	NA
184	Ruiz	Raul	CA-36	https://ballotpedia.org/Raul_Ruiz	Dem	House	yes	NA
185	Cruz	Erin	CA-36	https://ballotpedia.org/Erin_Cruz	Rep	House	no	NA
186	Bass	Karen	CA-37	https://ballotpedia.org/Karen_Bass	Dem	House	yes	NA
187	Webber	Errol	CA-37	https://ballotpedia.org/Errol_Webber	Rep	House	no	NA
188	Thompson	Larry	CA-37	https://ballotpedia.org/Larry_Thompson_(California)	Ind	House	no	NA
189	Sánchez	Linda	CA-38	https://ballotpedia.org/Linda_Sánchez	Dem	House	yes	NA
190	Tolar	Michael	CA-38	https://ballotpedia.org/Michael_Tolar	Dem	House	no	NA
191	Cisneros	Gil	CA-39	https://ballotpedia.org/Gil_Cisneros	Dem	House	yes	Male
192	Kim	Young	CA-39	https://ballotpedia.org/Young_Kim_(California)	Rep	House	no	NA
193	Roybal-Allard	Lucille	CA-40	https://ballotpedia.org/Lucille_Roybal-Allard	Dem	House	yes	NA
194	Felix	Anthony	CA-40	https://ballotpedia.org/Anthony_Felix_Jr.	Dem	House	no	Male
195	Sanchez	David	CA-40	https://ballotpedia.org/David_Sanchez_(California)	Dem	House	no	NA
196	Delgado	C. Antonio	CA-40	https://ballotpedia.org/C._Antonio_Delgado_(California)	Rep	House	no	NA
197	Graham	Michael	CA-40	https://ballotpedia.org/Michael_Graham_Jr._(California)	AIP	House	no	NA
198	Barragan	Rodolfo	CA-40	https://ballotpedia.org/Rodolfo_Cortes_Barragan	Green	House	no	NA
199	Takano	Mark	CA-41	https://ballotpedia.org/Mark_Takano	Dem	House	yes	NA
200	Smith	Aja	CA-41	https://ballotpedia.org/Aja_Smith	Rep	House	no	NA
201	Calvert	Ken	CA-42	https://ballotpedia.org/Ken_Calvert	Rep	House	yes	NA
202	Marston	Regina	CA-42	https://ballotpedia.org/Regina_Marston	Dem	House	no	NA
203	O'Mara	William	CA-42	https://ballotpedia.org/William_O'Mara	Dem	House	no	NA
204	Waters	Maxine	CA-43	https://ballotpedia.org/Maxine_Waters	Dem	House	yes	NA
205	Collins	Joe	CA-43	https://ballotpedia.org/Joe_Collins_(California)	Rep	House	no	NA
206	Navarro	Omar	CA-43	https://ballotpedia.org/Omar_Navarro	Rep	House	no	NA
207	Barragán	Nanette	CA-44	https://ballotpedia.org/Nanette_Barragán	Dem	House	yes	NA
208	Griffin	Morris	CA-44	https://ballotpedia.org/Morris_Griffin	Dem	House	no	NA
209	Joya	Analilia	CA-44	https://ballotpedia.org/Analilia_Joya	Dem	House	no	NA
210	Earley	Billy	CA-44	https://ballotpedia.org/Billy_Earley	Rep	House	no	NA
211	Porter	Ketie	CA-45	https://ballotpedia.org/Katie_Porter	Dem	House	yes	Female
212	Raths	Greg	CA-45	https://ballotpedia.org/Greg_Raths	Rep	House	no	NA
213	Correa	Lou	CA-46	https://ballotpedia.org/Lou_Correa	Dem	House	yes	NA
214	Waters	James	CA-46	https://ballotpedia.org/James_Waters	Rep	House	no	NA
215	Lowenthal	Alan	CA-47	https://ballotpedia.org/Alan_Lowenthal	Dem	House	yes	NA
216	Mathews	Peter	CA-47	https://ballotpedia.org/Peter_Mathews	Dem	House	no	NA
217	McLeod	Jalen	CA-47	https://ballotpedia.org/Jalen_McLeod	Dem	House	no	NA
218	Briscoe	John	CA-47	https://ballotpedia.org/John_Briscoe	Rep	House	no	NA
219	Moua	Sou	CA-47	https://ballotpedia.org/Sou_Moua	Rep	House	no	NA
220	Phan West	Amy	CA-47	https://ballotpedia.org/Amy_Phan_West	Rep	House	no	NA
221	Rouda	Harley	CA-48	https://ballotpedia.org/Harley_Rouda	Dem	House	yes	Male
222	Steel	Michelle	CA-48	https://ballotpedia.org/Michelle_Steel	Rep	House	no	NA
223	Levin	Mike	CA-49	https://ballotpedia.org/Mike_Levin	Dem	House	yes	Male
224	Maryott	Brian	CA-49	https://ballotpedia.org/Brian_Maryott	Rep	House	no	NA
225	Campa-Najjar	Ammar	CA-50	https://ballotpedia.org/Ammar_Campa-Najjar	Dem	House	no	NA
226	Issa	Darrell	CA-50	https://ballotpedia.org/Darrell_Issa	Rep	House	no	NA
227	Vargas	Juan	CA-51	https://ballotpedia.org/Juan_Vargas	Dem	House	yes	NA
228	Hidalgo	Juan	CA-51	https://ballotpedia.org/Juan_Hidalgo_Jr.	Rep	House	no	NA
229	Peters	Scott	CA-52	https://ballotpedia.org/Scott_Peters	Dem	House	yes	NA
230	DeBello	Jim	CA-52	https://ballotpedia.org/Jim_DeBello	Rep	House	no	NA
231	Gomez	Georgette	CA-53	https://ballotpedia.org/Georgette_Gomez	Dem	House	no	NA
232	Jacobs	Sara	CA-53	https://ballotpedia.org/Sara_Jacobs	Dem	House	no	NA
233	Dang	Betty	CT-01	https://ballotpedia.org/Betty_Dang	Rep	House	no	NA
234	Open	NA	CT-02	NA	Dem	House	no	NA
235	Courtney	Joe	CT-02	https://ballotpedia.org/Joe_Courtney	Dem	House	yes	NA
236	Anderson	Justin	CT-02	https://ballotpedia.org/Justin_Anderson_(Connecticut)	Rep	House	no	NA
237	Gilmer	Thomas	CT-02	https://ballotpedia.org/Thomas_Gilmer	Rep	House	no	NA
238	Streicker	Margaret	CT-03	https://ballotpedia.org/Margaret_Streicker	Rep	House	no	NA
239	Open	NA	CT-04	NA	Dem	House	no	NA
240	Himes	Jim	CT-04	https://ballotpedia.org/Jim_Himes	Dem	House	yes	NA
241	Merlen	Brian	CT-04	https://ballotpedia.org/Brian_Merlen	Dem	House	no	NA
242	Elgin	T.J.	CT-04	https://ballotpedia.org/T.J._Elgin	Rep	House	no	NA
243	Goldstein	Michael	CT-04	https://ballotpedia.org/Michael_Goldstein_(Connecticut)	Rep	House	no	NA
244	Riddle	Jonathan	CT-04	https://ballotpedia.org/Jonathan_Riddle	Rep	House	no	NA
245	Hayes	Jahana	CT-05	https://ballotpedia.org/Jahana_Hayes	Dem	House	yes	NA
246	Barresi	Peter Robert	CT-05	https://ballotpedia.org/Peter_Robert_Barresi	Rep	House	no	NA
247	Hyde	Robert	CT-05	https://ballotpedia.org/Robert_Hyde	Rep	House	no	NA
248	Meehan	Ryan	CT-05	https://ballotpedia.org/Ryan_Meehan	Rep	House	no	NA
249	Rodriguez	Ruben	CT-05	https://ballotpedia.org/Ruben_Rodriguez	Rep	House	no	NA
250	Sullivan	David Xavier	CT-05	https://ballotpedia.org/David_Xavier_Sullivan_(Connecticut)	Rep	House	no	NA
251	DeGette	Diana	CO-01	https://ballotpedia.org/Diana_DeGette	Dem	House	yes	NA
252	Pratschler	Meghan	CO-01	https://ballotpedia.org/Meghan_Pratschler	Dem	House	no	NA
253	Winters	Charlie Madison	CO-01	https://ballotpedia.org/Charlie_Madison_Winters	Dem	House	no	NA
254	Camp	Joseph	CO-01	https://ballotpedia.org/Joseph_Camp	Ind	House	no	NA
255	Neguse	Joe	CO-02	https://ballotpedia.org/Joe_Neguse	Dem	House	yes	NA
256	Cutcher	William	CO-02	https://ballotpedia.org/William_Cutcher	Rep	House	no	NA
257	Winn	Charles	CO-02	https://ballotpedia.org/Charles_Winn	Rep	House	no	NA
258	Matyi	Mark	CO-02	https://ballotpedia.org/Mark_Matyi	None	House	no	NA
259	Johnson	Alex	CO-02	https://ballotpedia.org/Alex_Johnson_(Colorado)	Ind	House	no	NA
260	Tipton	Scott	CO-03	https://ballotpedia.org/Scott_Tipton	Rep	House	yes	NA
261	Boebert	Lauren	CO-03	https://ballotpedia.org/Lauren_Boebert	Rep	House	no	NA
262	Mitsch Bush	Diane	CO-03	https://ballotpedia.org/Diane_Mitsch_Bush	Dem	House	no	NA
263	Iacino	James	CO-03	https://ballotpedia.org/James_Iacino	Dem	House	no	NA
264	Routledge	Root	CO-03	https://ballotpedia.org/Root_Routledge	Dem	House	no	NA
265	Moser	Robert	CO-03	https://ballotpedia.org/Robert_Moser	Ind	House	no	NA
266	Buck	Ken	CO-04	https://ballotpedia.org/Ken_Buck	Rep	House	yes	NA
267	McCorkle	Isaac	CO-04	https://ballotpedia.org/Isaac_McCorkle	Dem	House	no	NA
268	McGannon	James	CO-04	https://ballotpedia.org/James_McGannon	Dem	House	no	NA
269	Tomitsch	Melanie Diane	CO-04	https://ballotpedia.org/Melanie_Diane_Tomitsch	Dem	House	no	NA
270	Lamborn	Doug	CO-05	https://ballotpedia.org/Doug_Lamborn	Rep	House	yes	NA
271	English	George	CO-05	NA	Dem	House	no	NA
272	Freeland	Jillian	CO-05	https://ballotpedia.org/Jillian_Freeland	Dem	House	no	NA
273	Lucas	Ryan	CO-05	https://ballotpedia.org/Ryan_Lucas	Dem	House	no	NA
274	Sanchez	Mario	CO-05	https://ballotpedia.org/Mario_Sanchez	Dem	House	no	NA
275	Crow	Jason	CO-06	https://ballotpedia.org/Jason_Crow	Dem	House	yes	Male
276	Kulikowski	Jaimie	CO-06	https://ballotpedia.org/Jaimie_Kulikowski	Dem	House	no	NA
277	Gonzalez	Ryan	CO-06	https://ballotpedia.org/Ryan_Gonzalez	Rep	House	no	NA
278	House	Steve	CO-06	https://ballotpedia.org/Steve_House	Rep	House	no	NA
279	Stockham	Casper	CO-06	https://ballotpedia.org/Casper_Stockham	Rep	House	no	NA
280	Szemler	John	CO-06	https://ballotpedia.org/John_Szemler	Rep	House	no	NA
281	Perlmutter	Ed	CO-07	https://ballotpedia.org/Ed_Perlmutter	Dem	House	yes	NA
282	Clay	Nathan	CO-07	https://ballotpedia.org/Nathan_Clay	Dem	House	no	NA
283	Malgieri	Anthony	CO-07	https://ballotpedia.org/Anthony_Malgieri	Ind	House	no	NA
284	Open	NA	DE-AL	https://ballotpedia.org/_Open	Dem	House	no	NA
